mean,std,min,max,median,skewness,kurtosis,total_energy,peak_frequency,bandwidth,positive_ratio,negative_ratio,label
-0.008157463942506535,0.007931931029988288,-0.06470449308074608,0.01690687816156198,-0.007525980968686601,-1.7669477257900457,11.947392531597451,70.90685417418521,0,33,0.08,0.92,WALKING
-0.008139381691184795,0.010126988675731238,-0.08369938784927686,0.03459582171325349,-0.007712152913561868,-1.7939139228903391,14.458778538957315,85.98130760699033,0,43,0.10285714285714286,0.8971428571428571,WALKING
-0.00831792944151897,0.012706160269630078,-0.10615319556098413,0.07784398346254481,-0.008644638502959837,-0.4847096708416024,23.43665141661894,104.24340200671645,0,69,0.07857142857142857,0.9214285714285715,WALKING
-0.008461505890594554,0.012697245691644845,-0.11349787569631477,0.06632534687772838,-0.008602401127816841,-1.5271475216162576,25.37298813462102,104.50337957512718,0,75,0.06714285714285714,0.9328571428571428,WALKING
-0.008260052488059234,0.012026238800099323,-0.1139007845497875,0.07130755408366936,-0.008088915821286215,-1.8187966506522006,32.907174026527436,97.3775489866484,0,65,0.05857142857142857,0.9414285714285714,WALKING
-0.00840958040182657,0.010348200734317477,-0.09678029138430332,0.057714585157378394,-0.00840735629852282,-1.7032334244205685,29.42042538732577,87.66058828460254,0,57,0.05142857142857143,0.9485714285714286,WALKING
-0.008303996636500995,0.009449327948909927,-0.0873250361067534,0.04482677018698186,-0.008228003276569697,-1.8878507241667013,25.26501503792992,79.27186629909525,0,55,0.055714285714285716,0.9442857142857143,WALKING
-0.008392355871172855,0.00663166693071031,-0.0650612888889321,0.03834367978760072,-0.00828326424199645,-1.5584775670891418,33.129583387560466,62.261460180765965,0,11,0.032857142857142856,0.9671428571428572,WALKING
-0.008454949436928393,0.008209312657108845,-0.08013872069758954,0.03877059696320569,-0.008263479584010979,-2.025521845389435,29.097966580825677,70.95765302001402,0,37,0.045714285714285714,0.9542857142857143,WALKING
-0.008437930406718055,0.011098196067568074,-0.10257690919467856,0.06230148440046549,-0.008191312699149557,-1.8775732338776363,30.601998340206592,91.71466497417899,0,59,0.05714285714285714,0.9428571428571428,WALKING
-0.008369149839744237,0.007667931819558959,-0.07860662571321976,0.042682969431443084,-0.008351423645527786,-2.286440180088832,38.15521499514732,68.11685079949322,0,27,0.04428571428571428,0.9557142857142857,WALKING
-0.008264214991320745,0.009623055199115174,-0.08982730179263639,0.05480502592897305,-0.00835150715216592,-1.5461143108892317,29.61933261670626,83.22684756523918,0,53,0.05714285714285714,0.9428571428571428,WALKING
-0.00833223804681518,0.006491582753982031,-0.06360663093178175,0.03292643381602073,-0.008343640663250725,-2.1034504717428635,30.460974798712563,58.070544127318,0,19,0.037142857142857144,0.9628571428571429,WALKING
-0.008109366090799887,0.00846237749652086,-0.0765979486265479,0.02293312142656492,-0.00766769273965354,-2.853787013676497,23.203957316110014,77.65340713298873,0,33,0.05285714285714286,0.9471428571428572,WALKING
-0.00819277532857736,0.010116573832391588,-0.09188856250178996,0.0528829887991741,-0.00791332393122272,-1.7435631509603182,25.60194920493157,85.04808862321121,0,51,0.07571428571428572,0.9242857142857143,WALKING
-0.008139421649262018,0.007749990634028746,-0.06716909595939571,0.03150033294936539,-0.008070221318235515,-1.4003833369039569,17.253210237053683,70.99715488888287,0,31,0.07428571428571429,0.9257142857142857,WALKING
-0.008367166771866587,0.010079303173601539,-0.059006676106629116,0.03134415707311816,-0.008422107388694656,-0.1396334017151524,3.4510344052783175,79.33342122345104,0,33,0.17,0.83,WALKING
-0.00845492436834674,0.010150576211826889,-0.07187353763330838,0.024813295987057903,-0.008472810750976152,-0.9643911431571659,7.38323608397682,93.61010173357018,0,59,0.13142857142857142,0.8685714285714285,WALKING
-0.00836383677544647,0.00906962811362959,-0.044716626311661706,0.023093076586544085,-0.008324012508991667,-0.21024443529151185,0.9030136101357793,63.15973849708034,0,17,0.18571428571428572,0.8142857142857143,WALKING
-0.00830878785951654,0.006723240846626632,-0.057427609522694656,0.02133213953099811,-0.008302198248202065,-1.5938840414073838,16.369876660047833,64.30986201831672,0,9,0.04428571428571428,0.9557142857142857,WALKING
-0.008404503637138327,0.006681330549354827,-0.06793296043534404,0.026820997292303222,-0.008306404974176784,-2.9308873700190157,31.023271145324408,59.525927413610646,0,15,0.041428571428571426,0.9585714285714286,WALKING
-0.00847702181058818,0.005510504182667027,-0.0438025995898897,0.019535148698355168,-0.008170919034362727,-1.066228604160098,12.1200066710044,49.465164432304505,0,7,0.022857142857142857,0.9771428571428571,WALKING
-0.00830490702973147,0.006975801686887324,-0.058672067536433746,0.03407880472681238,-0.008126375483844525,-0.6419243133538781,17.63476694012549,62.202824867703086,0,17,0.04857142857142857,0.9514285714285714,WALKING
-0.008395294945648344,0.006798984959222502,-0.05268962905783801,0.02210508095057183,-0.008382659061133745,-1.056733975087122,11.433265697209428,63.66478924288451,0,19,0.05,0.95,WALKING
-0.008285222498736533,0.006536329146340147,-0.0489494241196244,0.029186820119851437,-0.008219826058906369,-0.34850335533027366,11.243505084216729,57.13433080381693,0,15,0.04428571428571428,0.9557142857142857,WALKING
-0.008161987711061181,0.0066409839651731814,-0.050531048247959925,0.01737464752656484,-0.007191378287370324,-1.4514877616676953,9.37833651594441,61.831213659232446,0,15,0.037142857142857144,0.9628571428571429,WALKING
-0.008318426222295111,0.008298908777358832,-0.0760590890302271,0.03134263926069605,-0.008190736608758128,-2.098994469823914,22.670085542410895,71.4882322236331,0,33,0.054285714285714284,0.9457142857142857,WALKING
-0.008186416682844224,0.00837893781629099,-0.06481221528484474,0.029074010440537267,-0.008136884285702157,-1.5007917803529758,14.59547298627627,76.26282282473146,0,37,0.06285714285714286,0.9371428571428572,WALKING
-0.008397021080237741,0.005941473665025888,-0.05684241298407631,0.031388438102355296,-0.008601331774222815,-1.2043052434737649,26.92815844992702,53.742411963521675,0,7,0.03142857142857143,0.9685714285714285,WALKING
-0.008413687995301521,0.005876313879258358,-0.053370730218182956,0.014443989861082411,-0.008406272761088397,-2.0884598447909166,18.75358488733148,54.58100257698074,0,3,0.05,0.95,WALKING
-0.008262429687946974,0.014377328822872334,-0.12958512159541205,0.08260734391927835,-0.00866114478595997,-1.4312734571348416,26.708429132235032,113.52864340093859,0,83,0.08714285714285715,0.9128571428571428,WALKING
-0.008455676429825405,0.009731857469164313,-0.08848621097155769,0.04283312567596964,-0.008652360052285195,-1.9300586593879117,23.7726304963723,82.59969290256105,0,49,0.06571428571428571,0.9342857142857143,WALKING
-0.008207603041851799,0.019989705513754712,-0.1813515975747044,0.11928636549577987,-0.00825348818916183,-1.506689097729693,29.311017316677493,150.89235137893888,0,97,0.08571428571428572,0.9142857142857143,WALKING
-0.008453978473461451,0.016989978253573932,-0.15228705394920572,0.07848260913536359,-0.008471197769963655,-2.1611782622403566,26.553509644636932,133.5443519682788,0,91,0.07857142857142857,0.9214285714285715,WALKING
-0.008331773947372941,0.009854590864444039,-0.09700934044500595,0.051143283095271164,-0.008230501697264844,-2.3774234758450734,34.18498721429287,84.27496879806864,0,55,0.05714285714285714,0.9428571428571428,WALKING
-0.008321900596180045,0.012653270516925403,-0.11135908163269696,0.058602355271042815,-0.008391780110948294,-1.79701389120955,23.666721385727683,108.07220956172834,0,81,0.07857142857142857,0.9214285714285715,WALKING
-0.00840137568248444,0.010233480768594892,-0.10424372001493346,0.05162881978438094,-0.008376751057102512,-2.8975182859599875,37.70805791673759,86.67467653271538,0,55,0.06,0.94,WALKING
-0.008384126553423866,0.011785079069820532,-0.10642926817492843,0.06194854658329694,-0.008420825199879533,-1.6180400532264514,27.525075440178444,94.09594667408311,0,57,0.06714285714285714,0.9328571428571428,WALKING
-0.008498611775551633,0.010911446049287976,-0.10392148275811856,0.06298807366213725,-0.008636244446929682,-1.934853893736488,34.61281722402612,89.91670231315629,0,55,0.06285714285714286,0.9371428571428572,WALKING
-0.008222893733390638,0.007740437135322674,-0.0693315304938404,0.04061404472636303,-0.007958792182546807,-1.6730303617304574,25.124918260324566,69.93260898052898,0,31,0.05,0.95,WALKING
-0.008306941989877286,0.008649637979920355,-0.08563643312374766,0.045477084441901364,-0.0081556160054942,-2.4914424896302485,34.354986685453085,74.58355970016726,0,39,0.05142857142857143,0.9485714285714286,WALKING
-0.008297070745483553,0.018084415714552226,-0.16446248108639056,0.09082571100286103,-0.008207961793421956,-1.9658996172598284,27.3900892256325,132.86451174018697,0,83,0.08428571428571428,0.9157142857142857,WALKING
-0.008398525621707476,0.00973819575095566,-0.0941791218764478,0.04733789701032667,-0.008640883922557775,-1.9381575648089198,28.790945582377706,82.91177023204607,0,53,0.05857142857142857,0.9414285714285714,WALKING
-0.008349739927731805,0.007321726719975059,-0.07375362066933804,0.037152469060972755,-0.008279197841842388,-2.2402980658514817,33.526180711905724,64.72296179238204,0,25,0.041428571428571426,0.9585714285714286,WALKING
-0.00820361283793107,0.014004433030091619,-0.13120311927701464,0.08304752964915005,-0.008234047144748988,-1.6200154847598864,31.454976628269343,108.50687296282518,0,81,0.06571428571428571,0.9342857142857143,WALKING
-0.008450326945042434,0.012449777939838098,-0.10652981731207962,0.05721263401412694,-0.008177007154193366,-1.5861879681381172,21.052407972997614,103.14351906769697,0,61,0.06571428571428571,0.9342857142857143,WALKING
-0.008401361771975611,0.010239908160206259,-0.09810663228572014,0.06093456909999242,-0.008604698745206276,-1.7801390995622237,33.86583666823988,85.67325649305121,0,51,0.05142857142857143,0.9485714285714286,WALKING
-0.008398920117572893,0.007922889779694499,-0.074811600933879,0.04334062446700163,-0.008281929418185709,-1.568658181258564,30.625836130029256,67.53419098646994,0,35,0.037142857142857144,0.9628571428571429,WALKING
-0.008389025793907868,0.008642856830558173,-0.07441898917047711,0.05752217240063459,-0.008001912517907045,-0.6102601141252136,29.108363541388336,78.63130709785975,0,31,0.03857142857142857,0.9614285714285714,WALKING
-0.00641466702714263,0.011427779979954995,-0.10148697858995567,0.060177745031371195,-0.006982849160197755,-1.9800143517674835,25.251661943699027,95.52436498277919,0,93,0.055714285714285716,0.9442857142857143,WALKING
0.0038021425996885494,0.011004501003127642,-0.10123715941894766,0.05083321386781059,0.0038478831833095415,-3.627775998222414,37.963392701252374,85.13323826515884,0,115,0.8828571428571429,0.1171428571428571,WALKING
0.003521056165295207,0.012962777859411294,-0.11843681021725053,0.0799877172664497,0.0037214777989451765,-2.967253491478177,41.053788546898566,100.98530751800354,0,123,0.8457142857142858,0.15428571428571425,WALKING
0.0034689162189735115,0.022342419427280286,-0.19613858517544594,0.13854103776270643,0.0034647042351211438,-2.1210107592616936,36.53127362074039,160.829816322589,658,127,0.8028571428571428,0.19714285714285718,WALKING
0.003477150381587396,0.02152525327437835,-0.18202527135925436,0.12215823308544509,0.0032341031675550687,-2.0899764171722692,31.498597378612587,154.55243405391326,42,115,0.8185714285714286,0.18142857142857138,WALKING
0.0035984882396073075,0.023059726791392784,-0.20916751933286704,0.1407493364284735,0.0037357820684482132,-2.500008046574033,37.486212591669506,166.2877712297587,43,121,0.8185714285714286,0.18142857142857138,WALKING
0.0034120379527928573,0.017977145484242472,-0.1565186548109668,0.11403497473349192,0.0033271412959037434,-2.276354392034645,35.20239671458818,130.3360629661087,0,119,0.8271428571428572,0.17285714285714282,WALKING
0.0035648782285743886,0.018057046228877133,-0.16076352191371043,0.09843061193819005,0.0036206813195352105,-2.7153903417245533,34.81968755251776,129.95907356578948,658,127,0.8528571428571429,0.14714285714285713,WALKING
0.0034593211482139086,0.01211021899492615,-0.10877497710172704,0.08792499332278966,0.0034193354893828866,-2.573040596004103,43.43817569708925,93.89379811069085,0,115,0.86,0.14,WALKING
0.003513783764113735,0.014420681177205831,-0.1278472254395692,0.08116516304002575,0.0035110958198515323,-2.6789750141689734,33.166698588912254,105.88654372008784,0,119,0.8357142857142857,0.16428571428571426,WALKING
0.0034320384173327995,0.019674354702645662,-0.16348143138876184,0.11165954080075861,0.00359251541746854,-2.0968280907820454,29.540778616786156,139.96794985053933,658,119,0.7942857142857143,0.20571428571428574,WALKING
0.0033555747749121493,0.014963458718788587,-0.13467818647729868,0.09392400734497063,0.0034400146161129618,-2.7599872251742874,37.364100824436775,112.44555736401207,0,121,0.7885714285714286,0.2114285714285714,WALKING
0.0034640470725067394,0.016549292164643934,-0.14757584420175007,0.09262403809989436,0.0035779958820345327,-2.640246983045589,35.08166074148198,121.97785732308355,0,121,0.7957142857142857,0.2042857142857143,WALKING
0.0035102537484283224,0.013265762443719294,-0.1192411353620896,0.07782953203417033,0.0037389153819307828,-3.143163038012529,37.150847036604894,100.34576206110114,0,123,0.8428571428571429,0.15714285714285714,WALKING
