mean,std,min,max,median,rms,zcr,spectrogram_mean_energy,spectrogram_peak_frequency,spectrogram_bandwidth,fft_total_energy,fft_dominant_frequency,fft_mean_magnitude,spectral_centroid,energy_entropy,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,label
-0.0081574639425065,0.0079319310299882,-0.064704493080746,0.0169068781615619,-0.0075259809686866,0.0113780379608166,0.0328571428571428,1.6370776977745486e-07,46.875,18.0,38.30569963552935,0,0.1094448561015124,41.37003535605147,6.217574498277035,-10.306985163482745,24.22414527509584,10.550801011170018,-2.7985408422023594,-9.68758765565688,-9.89849075421464,-5.901953726385245,-1.61277102019512,0.5305551589559656,0.4821505157465809,-1.1068103015283222,-2.387136586687942,-3.311816772373313,WALKING
-0.0081393816911847,0.0101269886757312,-0.0836993878492768,0.0345958217132534,-0.0077121529135618,0.0129925145354231,0.0428571428571428,2.977551972417994e-07,82.03125,21.0,45.837911331449945,0,0.1309654609469998,40.99376943371171,6.1514142644118905,-10.173807210065531,24.309798456666112,9.686235341524895,-3.192815414013092,-10.199371170962104,-10.368312643247991,-6.445854752192257,-1.6466100424248005,0.5130805590513805,0.7090559190452921,-1.0182544546044476,-1.879636445261132,-3.119923499226531,WALKING
-0.0083179294415189,0.01270616026963,-0.1061531955609841,0.0778439834625448,-0.0086446385029598,0.0151866539761599,0.0342857142857142,4.902317759435904e-07,82.03125,18.0,55.032449821471936,0,0.1572355709184912,37.722287344399824,6.065589699974475,-10.37413667600514,25.37607310149582,11.902161877644874,-0.8539036951344053,-7.585997778689518,-7.468988829654619,-4.14085447929335,-0.9007762318866678,-0.4803705302386352,-0.9818509443317758,-2.4816403735489967,-2.4422302335037305,-2.8855994236395293,WALKING
-0.0084615058905945,0.0126972456916448,-0.1134978756963147,0.0663253468777283,-0.0086024011278168,0.015258346243632,0.0285714285714285,5.02961038493434e-07,78.125,19.0,55.21271387607513,0,0.1577506110745003,38.49446367225876,6.031980832148919,-10.872162746103076,23.53644178544649,11.124938928450792,-0.8449850874902022,-7.385346263629896,-7.687900692550769,-4.601530950569583,-1.4193955421835296,-0.4333663491680435,-0.6010811165163913,-1.399602857793344,-1.167949467127142,-1.0551580954719155,WALKING
-0.0082600524880592,0.0120262388000993,-0.1139007845497875,0.0713075540836693,-0.0080889158212862,0.014589684259178,0.0257142857142857,4.518862506738089e-07,82.03125,17.0,51.5793028146592,0,0.1473694366133119,38.31316867754613,6.003494816758147,-10.905216540151825,24.43707832024323,10.79659697631102,-1.0252692394265903,-7.591723403973162,-6.999207577439935,-3.657094268341024,-1.0121787359060677,-1.796590783350272,-2.653407529663791,-2.8398465997955635,-0.6897913506193426,0.1962843131095693,WALKING
-0.0084095804018265,0.0103482007343174,-0.0967802913843033,0.0577145851573783,-0.0084073562985228,0.0133344029102361,0.02,3.2971491870531095e-07,78.125,19.0,46.772768336804845,0,0.1336364809622995,37.43101523637905,6.0493500709914345,-10.705786058273842,23.41338903905798,9.744422411750742,-2.8393572669896794,-9.387383023846668,-9.368123667647396,-5.551438990456564,-1.6434570175819647,0.1164456671187433,0.5643661862673581,-0.1389064566642523,-0.5405365835856909,-1.7808180718170816,WALKING
-0.0083039966365009,0.0094493279489099,-0.0873250361067534,0.0448267701869818,-0.0082280032765696,0.0125795929514857,0.02,2.744232164175388e-07,78.125,19.0,42.54208707159509,0,0.1215488202045574,35.016854206797206,5.949866517361577,-10.946091783706311,24.12408060378368,10.014729416588857,-2.8758671339695034,-8.884346471241779,-7.432600917218139,-2.6765857256625343,0.8318953779137662,0.6462029298360654,-0.5342654270666634,-1.702388380218569,-1.2412044981805164,-1.7575035265697354,WALKING
-0.0083923558711728,0.0066316669307103,-0.0650612888889321,0.0383436797876007,-0.0082832642419964,0.0106962911024469,0.0114285714285714,1.3139922027890934e-07,46.875,21.0,34.065734575423804,0,0.0973306702154965,38.550373675562376,6.14320063281043,-11.709128779502151,23.158309683846408,10.861099427214029,-1.2570388285636651,-7.059630177487188,-6.700712736734912,-3.07930836357312,-0.7201159743252711,-0.4288616837115467,-1.2071369842624209,-1.3859474966102443,-0.825301173257909,-0.1123770637908895,WALKING
-0.0084549494369283,0.0082093126571088,-0.0801387206975895,0.0387705969632056,-0.0082634795840109,0.0117846927954522,0.0171428571428571,2.082420529988664e-07,50.78125,19.0,38.43643645257719,0,0.1098183898645062,38.33225857413366,6.0343939345264594,-11.570757066875094,24.116959686473997,11.451000221404954,-0.0757513387434807,-6.741739499928425,-7.317548513662453,-4.85886904641666,-2.269698111201831,-1.558771643923388,-1.314084378929112,-0.9944469346384174,0.3762397900464958,0.7665397135812484,WALKING
-0.008437930406718,0.011098196067568,-0.1025769091946785,0.0623014844004654,-0.0081913126991495,0.0139416148814547,0.0257142857142857,3.888744711891767e-07,46.875,19.0,48.81037811611383,0,0.1394582231888966,36.25744425977928,5.95683915243602,-11.339952112709296,23.795642198004096,10.353894747050234,-2.053357008479712,-8.215720691267837,-7.841934804762542,-4.17923125064349,-0.8375567515951499,0.3050365370685483,0.3265747174859276,-0.1688111248828552,0.031643056395437,-0.2152477092851047,WALKING
