2.35229,2.53387,2.35474,2.53418,2.53754,2.50824,2.53021,2.50336,2.54761,2.48261,3.05481,2.51709
2.27509,2.53418,2.33154,2.45514,2.53662,2.50977,2.53754,2.49084,2.95807,2.44812,2.80701,2.53845
2.33521,2.52106,2.33185,2.46521,2.54791,2.51038,2.53876,2.49908,2.63489,2.44965,2.33398,2.69012
2.44415,2.53937,2.37061,2.48474,2.55829,2.50732,2.54303,2.51221,2.80273,2.54822,2.24854,2.5058
2.49451,2.55493,2.44049,2.48016,2.5592,2.50183,2.52502,2.52594,2.44904,2.51129,2.164,2.38708
2.47681,2.54639,2.42371,2.51465,2.53906,2.50183,2.53845,2.54028,2.08344,2.51129,1.98364,2.62634
2.53296,2.51495,2.50397,2.54578,2.51678,2.50183,2.51556,2.54944,1.84998,2.51282,1.87531,2.46704
2.5589,2.51526,2.55219,2.50305,2.50427,2.50214,2.53326,2.54425,2.01813,2.50153,2.14447,2.60132
2.57202,2.5528,2.61383,2.46704,2.51251,2.49969,2.52838,2.55432,2.03247,2.54181,1.79657,2.61749
2.54486,2.58087,2.66815,2.44782,2.51617,2.49725,2.52167,2.54089,1.63269,2.56256,1.57837,2.23724
2.54028,2.57446,2.68036,2.44202,2.51404,2.50031,2.50916,2.5235,2.12494,2.53571,1.79169,2.39899
2.57965,2.56165,2.67792,2.45514,2.50305,2.50366,2.50122,2.5116,2.6004,2.44568,1.90887,2.54364
2.63489,2.52869,2.66266,2.44904,2.49481,2.51709,2.52502,2.49634,2.69165,2.53815,2.36389,2.50793
2.69226,2.48749,2.6416,2.47711,2.49084,2.52655,2.52777,2.48077,2.72858,2.55981,2.37732,2.56134
2.6828,2.46399,2.68585,2.51587,2.49359,2.54547,2.53296,2.46094,2.87903,2.5824,3.17017,2.39807
2.65625,2.44202,2.612,2.5589,2.50122,2.55463,2.52319,2.46368,2.47314,2.547,3.20068,2.53967
2.64465,2.43042,2.57263,2.59247,2.49146,2.55646,2.51434,2.48566,2.60895,2.5061,3.34808,2.57141
2.59735,2.42981,2.4881,2.60101,2.50092,2.54913,2.50122,2.4823,2.89856,2.55493,3.58215,2.46399
2.50336,2.4411,2.42126,2.57324,2.50458,2.56042,2.5061,2.47742,3.47199,2.54547,3.60748,2.5592
2.39471,2.46094,2.41913,2.56134,2.51831,2.54944,2.51801,2.50366,3.35571,2.51221,3.42377,2.54608
2.41669,2.48047,2.47681,2.53723,2.52106,2.54517,2.51862,2.52014,3.17291,2.48505,3.18146,2.33917
2.4469,2.5,2.50549,2.49054,2.50885,2.53754,2.52411,2.52228,3.16681,2.48566,3.49823,2.50214
2.48291,2.51892,2.45575,2.47864,2.49146,2.52106,2.52533,2.50732,2.75024,2.45667,3.01758,2.62482
2.48718,2.51648,2.40295,2.47467,2.48505,2.49573,2.52502,2.50885,2.76733,2.49481,2.74811,2.58026
2.50793,2.52838,2.37427,2.50153,2.49939,2.48199,2.52106,2.51343,2.46948,2.52625,2.4408,2.73285
2.52228,2.54272,2.37854,2.51129,2.50427,2.47528,2.53754,2.51953,2.11731,2.47955,1.78162,2.56531
2.50061,2.55676,2.40051,2.50366,2.5238,2.47589,2.52838,2.5293,1.73401,2.43317,1.57593,2.51251
2.50275,2.57202,2.46216,2.50336,2.53723,2.47803,2.52472,2.53357,1.67847,2.40112,1.25061,2.43286
2.45178,2.58118,2.52655,2.48962,2.53601,2.4884,2.50885,2.54242,2.07275,2.45148,1.67389,2.38068
2.44751,2.58301,2.57111,2.46277,2.55157,2.50031,2.50793,2.56042,1.96014,2.44782,1.54053,2.48138
2.48291,2.57507,2.63702,2.44354,2.57172,2.50153,2.51923,2.5592,1.82861,2.60437,1.48224,2.57751
2.5705,2.56256,2.64862,2.46979,2.55615,2.50458,2.52594,2.54272,1.97235,2.64282,1.83899,2.55768
2.63184,2.56195,2.66602,2.48871,2.5351,2.50397,2.53082,2.52869,2.04865,2.57782,1.84967,2.61383
2.65472,2.5415,2.61139,2.4707,2.54211,2.50305,2.53815,2.51923,2.28363,2.5531,2.44415,2.55219
2.66785,2.51343,2.57782,2.49146,2.54028,2.52106,2.5415,2.49725,2.67426,2.57141,2.74506,2.35901
2.62634,2.48871,2.57629,2.54059,2.54761,2.52991,2.52869,2.4881,3.16711,2.58148,3.24951,2.40845
2.56714,2.47437,2.58636,2.57874,2.53632,2.52686,2.54547,2.48932,3.14392,2.60437,3.53638,2.36389
2.49756,2.47314,2.59644,2.59705,2.5293,2.52411,2.53052,2.49847,3.20618,2.53052,3.56506,2.44537
2.42981,2.46704,2.53693,2.60071,2.50855,2.5293,2.54028,2.4881,3.29498,2.49054,3.85773,2.57629
2.39685,2.45453,2.47955,2.59094,2.5235,2.5293,2.52411,2.48413,3.4375,2.52777,3.90198,2.56256
2.41943,2.46185,2.44324,2.565,2.55798,2.52563,2.51404,2.5061,3.45673,2.6178,3.8446,2.47559
2.46216,2.47376,2.4411,2.51251,2.56531,2.51678,2.52777,2.49878,3.25836,2.61261,3.79608,2.52838
2.49573,2.48596,2.41058,2.48138,2.54974,2.51556,2.50702,2.49817,2.98462,2.49084,3.39417,2.48261
2.53143,2.50122,2.41608,2.46246,2.53967,2.50732,2.50549,2.51251,2.66968,2.37427,2.95563,2.56897
2.54547,2.51526,2.42676,2.45209,2.53387,2.49756,2.50427,2.53021,2.57812,2.36847,2.62268,2.58301
2.48779,2.54059,2.47009,2.46552,2.53265,2.50183,2.51465,2.53876,2.53479,2.42401,2.34436,2.5415
2.41394,2.55676,2.47101,2.52136,2.53418,2.50549,2.51953,2.53418,2.164,2.46124,1.74072,2.68707
2.37518,2.57416,2.48261,2.5177,2.52899,2.49756,2.53815,2.5235,1.97754,2.47559,1.4389,2.64526
2.42126,2.58057,2.52777,2.52899,2.52716,2.49786,2.54211,2.51709,1.70929,2.44995,1.15753,2.5
2.49329,2.56622,2.52899,2.52289,2.52411,2.49237,2.53143,2.50305,1.47003,2.43103,1.1554,2.56439
2.53387,2.53937,2.57996,2.47711,2.52777,2.48505,2.5412,2.52136,1.37543,2.435,0.900269,2.4707
2.59277,2.5235,2.5766,2.453,2.53265,2.49298,2.53021,2.51221,1.82434,2.49542,1.16699,2.54883
2.65106,2.51831,2.61902,2.45331,2.5,2.50824,2.54089,2.49329,1.99799,2.54334,1.37817,2.48352
2.68372,2.51099,2.62085,2.44965,2.49817,2.51892,2.52747,2.50183,1.84845,2.56897,1.30219,2.34985
2.69562,2.51282,2.64282,2.45667,2.50916,2.52899,2.53815,2.51251,1.89911,2.57202,1.78345,2.44049
2.63336,2.50031,2.64435,2.48444,2.50885,2.54181,2.5235,2.50885,2.31781,2.58026,2.08069,2.38251
2.54425,2.48291,2.61963,2.54517,2.50793,2.55127,2.5293,2.50275,2.67151,2.6767,2.61932,2.48566
2.47742,2.48077,2.61108,2.57477,2.51099,2.55249,2.51923,2.49329,2.48444,2.71729,2.90558,2.48932
2.4884,2.47437,2.57446,2.56775,2.51221,2.55249,2.50641,2.48871,2.81647,2.63336,3.34808,2.42767
2.51495,2.46094,2.56653,2.59918,2.51495,2.55035,2.50885,2.48688,3.11127,2.5177,3.65906,2.52777
2.55859,2.45911,2.53723,2.59827,2.52869,2.5412,2.5,2.47314,3.18909,2.49176,3.61542,2.45087
2.55341,2.48047,2.51526,2.53632,2.50824,2.52991,2.51587,2.47986,3.27026,2.52899,3.65784,2.39502
2.5354,2.50549,2.47376,2.51617,2.49481,2.52716,2.51801,2.49054,3.51227,2.51862,3.72131,2.43317
2.5354,2.51282,2.42279,2.53174,2.48718,2.52411,2.52869,2.49847,3.3429,2.50305,3.52783,2.50305
2.51282,2.52686,2.40662,2.51984,2.49481,2.51709,2.52655,2.51099,2.99774,2.46491,3.31238,2.48016
2.47803,2.55341,2.40448,2.5235,2.49268,2.51068,2.52808,2.52991,2.7597,2.39471,2.94983,2.659
2.44995,2.54822,2.41241,2.49451,2.51129,2.5116,2.51678,2.52716,2.62329,2.40143,2.66022,2.76459
2.42584,2.52777,2.42249,2.49329,2.51984,2.51526,2.51892,2.51617,2.3761,2.45728,2.32819,2.65686
2.42035,2.52106,2.46582,2.50946,2.52289,2.51648,2.50732,2.51709,2.27112,2.45392,2.1283,2.61383
2.46002,2.52533,2.47131,2.49878,2.54272,2.51038,2.50793,2.52228,2.20459,2.39166,2.06879,2.53082
2.49084,2.53754,2.48352,2.51831,2.5473,2.50153,2.52502,2.5415,2.052,2.3645,1.8042,2.62054
2.54791,2.54761,2.48108,2.5174,2.54852,2.49542,2.52533,2.54028,1.96472,2.48108,1.57471,2.54883
2.56531,2.55615,2.52869,2.47742,2.53021,2.4884,2.55066,2.53296,1.99585,2.56836,1.54083,2.49359
2.57324,2.55676,2.56165,2.47833,2.53387,2.4942,2.53784,2.5354,2.03735,2.6001,1.64917,2.53693
